DATE,AWND,PRCP,TAVG,TMAX,TMIN
1/1/22,4.47,0,49,61,39
1/2/22,8.05,0,49,62,40
1/3/22,1.34,0,49,65,37
1/4/22,1.34,0,49,63,37
1/5/22,2.01,0,56,76,41
1/6/22,1.34,0,61,78,48
1/7/22,2.68,0,54,69,45
1/8/22,2.01,0,53,66,44
1/9/22,7.61,0,59,72,45
1/10/22,7.38,0,58,66,48
1/11/22,6.71,0,62,75,52
1/12/22,4.92,0,62,78,50
1/13/22,1.34,0,60,71,51
1/14/22,4.7,0,63,78,50
1/15/22,8.28,0,62,68,57
1/16/22,2.01,0,62,73,52
1/17/22,1.79,0.01,55,62,51
1/18/22,4.03,0,55,62,52
1/19/22,1.79,0,55,66,48
1/20/22,3.58,0,59,74,44
1/21/22,9.62,0,57,71,45
1/22/22,12.08,0,58,67,52
1/23/22,4.92,0,60,72,43
1/24/22,1.34,0,56,72,43
1/25/22,2.68,0,56,74,42
1/26/22,6.26,0,56,69,46
1/27/22,5.82,0,58,72,39
1/28/22,12.08,0,58,67,50
1/29/22,2.24,0,54,65,43
1/30/22,2.01,0,53,74,40
1/31/22,1.57,0,51,63,41
2/1/22,2.01,0,50,60,43
2/2/22,15.21,0,51,58,44
2/3/22,4.47,0,52,64,41
2/4/22,12.3,0,54,66,43
2/5/22,4.92,0,58,72,42
2/6/22,4.7,0,64,78,52
2/7/22,7.61,0,63,76,52
2/8/22,2.01,0,66,80,50
2/9/22,7.38,0,72,82,63
2/10/22,6.04,0,71,83,57
2/11/22,4.7,0,68,84,51
2/12/22,4.7,0,70,87,55
2/13/22,0.89,0,68,85,53
2/14/22,2.91,0,63,80,51
2/15/22,9.84,0.03,48,58,38
2/16/22,4.92,0,48,63,36
2/17/22,4.03,0,56,69,43
2/18/22,3.8,0,58,75,41
2/19/22,2.01,0,61,81,45
2/20/22,4.92,0,55,71,44
2/21/22,6.26,0,51,58,47
2/22/22,8.28,0.1,47,54,41
2/23/22,4.47,0.14,41,50,34
2/24/22,2.01,0,44,57,31
2/25/22,2.24,0,49,65,33
2/26/22,4.03,0,54,69,37
2/27/22,4.47,0,58,75,43
2/28/22,4.25,0,67,81,52
3/1/22,3.8,0,67,88,48
3/2/22,3.13,0,67,85,51
3/3/22,6.04,0,60,73,49
3/4/22,5.82,0,52,59,47
3/5/22,7.83,0,47,56,39
3/6/22,3.58,0,48,62,36
3/7/22,8.72,0,52,65,37
3/8/22,4.47,0,55,71,38
3/9/22,4.92,0,54,68,41
3/10/22,10.07,0,55,68,42
3/11/22,6.93,0,60,73,50
3/12/22,4.03,0,61,76,45
3/13/22,4.7,0,57,70,45
3/14/22,2.24,0,62,82,44
3/15/22,3.8,0,64,81,50
3/16/22,4.92,0,61,75,48
3/17/22,4.47,0,67,80,53
3/18/22,2.91,0,65,80,48
3/19/22,4.92,0.11,59,72,51
3/20/22,5.82,0.06,57,68,49
3/21/22,8.72,0,62,79,45
3/22/22,7.16,0,69,86,50
3/23/22,6.04,0,71,88,57
3/24/22,3.8,0,71,87,56
3/25/22,4.25,0,72,88,56
3/26/22,3.8,0,68,84,54
3/27/22,6.93,0,59,77,49
3/28/22,8.28,0.42,53,58,48
3/29/22,4.47,0.01,54,63,47
3/30/22,3.8,0,58,71,47
3/31/22,7.16,0,57,65,53
4/1/22,5.82,0,60,72,52
4/2/22,4.7,0,57,67,51
4/3/22,6.04,0,57,63,52
4/4/22,3.36,0,60,76,47
4/5/22,2.46,0,67,82,51
4/6/22,4.92,0,78,95,57
4/7/22,7.61,0,80,94,67
4/8/22,5.37,0,80,96,64
4/9/22,5.82,0,72,89,56
4/10/22,6.49,0,62,72,55
4/11/22,8.5,0,58,67,52
4/12/22,6.49,0,56,68,45
4/13/22,4.92,0,56,71,41
4/14/22,4.25,0,58,73,42
4/15/22,5.82,0,59,73,45
4/16/22,5.59,0,57,67,48
4/17/22,5.82,0,63,79,52
4/18/22,6.26,0,65,82,50
4/19/22,7.16,0,63,75,53
4/20/22,8.5,0,59,72,50
4/21/22,6.26,0,58,71,45
4/22/22,8.28,0.11,54,61,48
4/23/22,7.61,0,62,78,44
4/24/22,6.49,0,68,82,50
4/25/22,5.82,0,71,88,53
4/26/22,5.14,0,69,83,58
4/27/22,6.71,0,62,77,51
4/28/22,6.04,0,58,68,51
4/29/22,4.92,0,62,79,47
4/30/22,5.59,0,67,83,51
5/1/22,4.47,0,64,77,50
5/2/22,5.59,0,62,75,54
5/3/22,6.93,0,62,74,54
5/4/22,6.49,0,69,86,49
5/5/22,4.92,0,71,86,58
5/6/22,4.92,0,71,84,55
5/7/22,5.82,0,66,80,55
5/8/22,8.28,0,60,70,52
5/9/22,6.71,0,58,68,50
5/10/22,6.04,0,57,70,46
5/11/22,6.49,0,56,69,43
5/12/22,5.82,0,66,82,46
5/13/22,4.47,0,74,93,54
5/14/22,4.92,0,79,96,61
5/15/22,5.82,0,74,88,60
5/16/22,6.04,0,67,80,52
5/17/22,6.26,0,63,75,52
5/18/22,6.04,0,67,83,54
5/19/22,6.49,0,63,78,54
5/20/22,6.49,0,59,66,55
5/21/22,9.4,0,62,74,55
5/22/22,6.49,0,64,79,55
5/23/22,5.82,0,64,79,51
5/24/22,6.71,0,69,87,52
5/25/22,5.59,0,72,86,57
5/26/22,6.71,0,69,87,57
5/27/22,6.26,0,63,80,54
5/28/22,5.82,0,59,67,54
5/29/22,6.71,0,63,74,56
5/30/22,7.16,0,63,77,51
5/31/22,5.59,0,67,82,52
6/1/22,5.59,0,74,92,56
6/2/22,6.04,0,72,88,57
6/3/22,5.37,0,66,83,56
6/4/22,6.71,0,66,78,57
6/5/22,5.37,0,69,81,59
6/6/22,5.14,0,72,86,57
6/7/22,4.92,0,74,89,60
6/8/22,6.04,0,75,91,59
6/9/22,6.26,0,77,95,60
6/10/22,5.82,0,81,95,66
6/11/22,5.37,0,79,94,63
6/12/22,4.92,0,77,93,63
6/13/22,6.93,0,68,80,59
6/14/22,6.93,0,72,87,59
6/15/22,6.49,0,75,94,60
6/16/22,5.59,0,74,92,61
6/17/22,6.49,0,68,82,57
6/18/22,6.71,0,66,80,56
6/19/22,5.37,0,68,85,53
6/20/22,4.03,0,80,100,59
6/21/22,5.14,0,80,97,64
6/22/22,7.16,0,81,94,69
6/23/22,6.71,0,81,94,67
6/24/22,5.37,0,82,97,64
6/25/22,3.58,0,81,99,59
6/26/22,4.47,0,82,99,62
6/27/22,5.82,0,87,105,69
6/28/22,5.14,0,84,98,69
6/29/22,4.47,0,83,97,67
6/30/22,6.49,0,80,94,66
7/1/22,7.16,0,78,92,66
7/2/22,5.14,0,75,90,62
7/3/22,5.82,0,70,84,58
7/4/22,6.26,0,69,85,57
7/5/22,6.04,0,71,85,58
7/6/22,5.82,0,73,88,58
7/7/22,5.82,0,76,92,60
7/8/22,4.92,0,76,92,61
7/9/22,5.82,0,78,94,61
7/10/22,5.14,0,81,95,65
7/11/22,5.82,0,78,93,65
7/12/22,5.82,0,74,88,60
7/13/22,2.91,0,76,93,61
7/14/22,6.04,0,76,88,63
7/15/22,6.26,0,81,96,67
7/16/22,6.49,0,83,98,69
7/17/22,6.49,0,83,101,72
7/18/22,6.04,0,83,95,71
7/19/22,7.16,0,83,96,68
7/20/22,4.91,0,82,94,70
7/21/22,4.7,0,80,95,68
7/22/22,4.7,0,79,93,65
7/23/22,6.93,0,74,93,62
7/24/22,5.59,0,75,91,62
7/25/22,6.04,0,76,92,62
7/26/22,6.26,0,77,91,63
7/27/22,4.92,0,78,94,64
7/28/22,4.47,0,79,92,65
7/29/22,5.59,0,78,95,66
7/30/22,5.82,0,80,95,68
7/31/22,6.04,0,81,96,70
8/1/22,6.93,0,81,95,71
8/2/22,6.71,0,79,91,69
8/3/22,4.92,0,80,94,69
8/4/22,5.14,0,78,91,69
8/5/22,6.71,0.01,80,93,71
8/6/22,7.16,0,81,96,67
8/7/22,5.14,0,85,102,68
8/8/22,4.92,0,85,97,72
8/9/22,4.7,0,85,98,72
8/10/22,5.59,0,84,97,69
8/11/22,5.37,0,84,98,71
8/12/22,4.7,0,85,100,70
8/13/22,5.37,0,86,103,73
8/14/22,4.7,0,84,98,70
8/15/22,4.25,0,84,99,70
8/16/22,4.7,0,84,100,70
8/17/22,5.82,0,84,99,70
8/18/22,4.7,0,81,95,69
8/19/22,4.7,0,80,96,67
8/20/22,5.37,0,76,91,66
8/21/22,5.82,0,74,87,63
8/22/22,4.92,0,77,91,64
8/23/22,4.92,0,81,97,68
8/24/22,5.14,0,80,94,67
8/25/22,6.26,0,81,95,69
8/26/22,4.47,0,80,95,66
8/27/22,4.92,0,77,89,63
8/28/22,5.59,0,73,87,63
8/29/22,5.14,0,76,92,63
8/30/22,5.14,0,83,100,68
8/31/22,5.59,0,89,105,73
9/1/22,4.25,0,91,107,78
9/2/22,4.03,0,89,104,74
9/3/22,4.92,0,91,108,78
9/4/22,5.59,0,90,107,79
9/5/22,5.82,0,92,110,75
9/6/22,4.7,0,90,105,75
9/7/22,5.14,0,90,107,76
9/8/22,5.37,0.02,88,98,77
9/9/22,16.55,0.18,79,88,72
9/10/22,7.61,0,74,86,69
9/11/22,4.25,0.36,75,89,69
9/12/22,4.7,0.42,74,85,69
9/13/22,4.03,0,73,82,67
9/14/22,4.7,0,71,84,62
9/15/22,4.92,0,70,83,62
9/16/22,4.03,0,69,83,58
9/17/22,4.03,0,67,80,60
9/18/22,5.59,0,67,82,58
9/19/22,3.58,0,68,84,59
9/20/22,4.25,0,69,85,58
9/21/22,3.8,0,69,82,57
9/22/22,2.24,0,73,91,56
9/23/22,3.58,0,79,94,63
9/24/22,3.58,0,80,94,67
9/25/22,4.25,0,81,95,68
9/26/22,4.25,0,82,97,69
9/27/22,3.13,0,84,103,69
9/28/22,4.91,0,83,99,70
9/29/22,6.04,0,78,92,66
9/30/22,3.36,0,72,87,60
10/1/22,4.25,0,67,80,59
10/2/22,4.7,0,68,84,59
10/3/22,3.58,0,71,86,59
10/4/22,4.03,0,74,88,61
10/5/22,3.58,0,74,88,61
10/6/22,5.59,0,70,86,61
10/7/22,3.8,0,74,92,61
10/8/22,2.91,0,75,88,62
10/9/22,4.25,0,73,85,61
10/10/22,4.03,0,69,83,59
10/11/22,4.7,0,66,78,61
10/12/22,5.37,0,67,80,61
10/13/22,3.36,0,66,79,57
10/14/22,3.58,0,64,73,60
10/15/22,5.82,0.42,61,65,58
10/16/22,4.25,0,62,68,56
10/17/22,3.13,0,67,81,54
10/18/22,6.93,0,75,89,59
10/19/22,5.82,0,76,90,62
10/20/22,2.91,0,74,89,63
10/21/22,3.13,0,69,82,56
10/22/22,6.49,0,62,70,56
10/23/22,5.14,0,59,68,52
10/24/22,4.47,0,62,75,51
10/25/22,1.79,0,62,77,48
10/26/22,3.8,0,61,72,50
10/27/22,2.91,0,63,78,50
10/28/22,2.68,0,64,81,51
10/29/22,2.91,0,64,80,49
10/30/22,3.13,0,66,84,51
10/31/22,1.79,0,67,85,50
11/1/22,5.82,0,62,73,52
11/2/22,6.71,0.01,55,65,48
11/3/22,5.82,0,51,61,44
11/4/22,2.68,0,53,66,41
11/5/22,2.46,0,56,70,43
11/6/22,1.57,0,58,71,47
11/7/22,7.83,0.01,57,63,50
11/8/22,10.96,1.23,53,60,47
11/9/22,4.7,0.07,50,58,43
11/10/22,2.91,0,52,65,39
11/11/22,4.92,0,56,67,45
11/12/22,1.34,0,53,66,42
11/13/22,6.49,0,51,63,39
11/14/22,1.57,0,53,68,40
11/15/22,6.49,0,57,70,43
11/16/22,6.26,0,58,69,43
11/17/22,3.58,0,58,74,43
11/18/22,2.91,0,57,70,44
11/19/22,7.83,0,58,67,51
11/20/22,4.7,0,60,73,47
11/21/22,2.91,0,58,73,42
11/22/22,1.34,0,57,74,45
11/23/22,2.01,0,58,74,44
11/24/22,8.28,0,62,72,48
11/25/22,4.7,0,60,74,46
11/26/22,1.57,0,56,70,45
11/27/22,1.34,0,56,73,43
11/28/22,4.47,0,52,58,45
11/29/22,2.24,0,52,63,45
11/30/22,1.12,0,49,62,41
12/1/22,4.47,0,50,55,47
12/2/22,2.01,0,52,58,46
12/3/22,2.01,0,56,70,47
12/4/22,2.01,0,55,64,45
12/5/22,3.58,0,53,59,47
12/6/22,2.24,0,49,57,43
12/7/22,3.13,0,49,60,40
12/8/22,1.57,0,48,61,36
12/9/22,1.12,0,48,61,37
12/10/22,1.12,0,49,62,37
12/11/22,9.17,0.21,47,53,40
12/12/22,2.24,0.07,41,49,37
12/13/22,1.12,0,44,57,34
12/14/22,0.89,0,47,60,34
12/15/22,2.01,0,51,64,38
12/16/22,8.5,0,53,63,46
12/17/22,7.38,0,51,64,43
12/18/22,0.89,0,49,64,38
12/19/22,1.12,0,50,68,35
12/20/22,0.89,0,52,67,41
12/21/22,1.57,0,57,74,42
12/22/22,0.89,0,57,72,46
12/23/22,1.12,0,56,72,43
12/24/22,1.57,0,63,79,47
12/25/22,3.36,0,66,83,50
12/26/22,1.34,0,65,83,54
12/27/22,3.13,0.2,56,65,49
12/28/22,2.46,0.09,53,61,49
12/29/22,3.36,0,51,55,49
12/30/22,1.12,0,52,55,50
12/31/22,8.5,0.43,53,57,51
1/1/23,5.82,0.5,49,55,42
1/2/23,3.36,0.06,47,55,41
1/3/23,4.03,0.1,49,53,44
1/4/23,4.47,0.09,54,60,52
1/5/23,7.16,0.27,52,59,45
1/6/23,2.91,0,52,65,42
1/7/23,2.24,0,54,68,44
1/8/23,1.57,0,54,67,43
1/9/23,8.95,0,54,60,51
1/10/23,9.17,0.23,51,58,46
1/11/23,1.79,0,48,57,40
1/12/23,6.04,0,57,67,48
1/13/23,1.34,0,54,68,45
1/14/23,4.25,1.04,48,51,45
1/15/23,4.25,0.54,49,53,45
1/16/23,7.38,0.31,49,56,44
1/17/23,3.13,0.01,45,53,39
1/18/23,1.34,0,45,57,35
1/19/23,2.24,0,46,57,36
1/20/23,4.92,0,49,59,40
1/21/23,1.34,0,49,64,37
1/22/23,4.92,0,49,61,36
1/23/23,13.87,0,49,57,40
1/24/23,1.34,0,51,67,38
1/25/23,3.36,0,55,68,39
1/26/23,5.82,0,55,66,44
1/27/23,0.89,0,53,69,39
1/28/23,2.91,0,49,62,39
1/29/23,6.71,0,47,52,42
1/30/23,3.58,0.01,47,57,42
1/31/23,9.17,0,49,58,43
2/1/23,4.25,0,53,66,41
2/2/23,2.01,0,54,69,38
2/3/23,2.01,0,56,69,45
2/4/23,2.01,0,55,71,42
2/5/23,3.58,0,51,62,42
2/6/23,12.08,0,54,64,44
2/7/23,3.13,0,56,68,45
2/8/23,2.01,0,58,72,44
2/9/23,4.25,0,60,76,45
2/10/23,11.41,0,60,71,52
2/11/23,6.93,0,52,60,44
2/12/23,3.8,0,47,57,37
2/13/23,4.92,0,50,60,42
2/14/23,5.59,0.11,46,53,36
2/15/23,10.74,0,46,57,38
2/16/23,4.92,0,47,60,33
2/17/23,9.17,0,52,63,42
2/18/23,2.91,0,54,67,41
2/19/23,2.46,0,53,70,37
2/20/23,2.68,0,56,75,41
2/21/23,5.82,0,54,67,44
2/22/23,12.08,0,44,50,39
2/23/23,5.59,0.27,40,47,34
2/24/23,13.42,0.38,45,51,38
2/25/23,8.5,1.32,41,47,36
2/26/23,1.34,0,41,50,35
2/27/23,4.03,0.02,42,50,35
2/28/23,4.47,0.19,46,52,42
3/1/23,7.38,0.37,43,48,35
3/2/23,3.36,0,47,62,35
3/3/23,1.34,0,48,62,36
3/4/23,2.91,0,47,57,38
3/5/23,3.13,0,47,53,43
3/6/23,4.7,0.01,48,56,43
3/7/23,3.13,0,48,59,38
3/8/23,2.68,0,48,59,37
3/9/23,2.46,0,54,69,40
3/10/23,5.59,0.35,52,54,49
3/11/23,5.14,0.01,58,65,53
3/12/23,4.92,0,57,66,51
3/13/23,3.58,0,56,66,50
3/14/23,5.37,0.51,53,58,51
3/15/23,9.62,0.68,55,63,48
3/16/23,4.47,0,52,61,45
3/17/23,2.46,0,55,68,40
3/18/23,2.24,0,60,72,48
3/19/23,4.92,0.03,54,61,48
3/20/23,7.83,0.08,54,60,48
3/21/23,10.29,1.04,48,57,43
3/22/23,5.37,0.16,47,56,42
3/23/23,4.03,0.01,48,55,42
3/24/23,4.92,0,50,61,41
3/25/23,3.36,0,50,62,39
3/26/23,2.91,0,50,61,38
3/27/23,6.71,0,55,67,40
3/28/23,3.36,0,56,70,44
3/29/23,6.93,0.14,47,54,40
3/30/23,3.8,0.22,45,52,40
3/31/23,2.24,0,51,63,39
4/1/23,3.36,0,55,70,41
4/2/23,3.58,0,55,69,43
4/3/23,9.84,0,50,59,41
4/4/23,4.7,0,47,60,35
4/5/23,1.57,0,53,68,38
4/6/23,3.8,0,59,74,45
4/7/23,3.58,0,59,71,48
4/8/23,3.13,0,58,72,45
4/9/23,2.91,0,65,83,47
4/10/23,2.01,0,70,87,55
4/11/23,2.91,0,65,80,52
4/12/23,5.37,0,56,69,50
4/13/23,7.61,0,51,57,47
4/14/23,4.7,0,53,64,46
4/15/23,3.58,0,59,76,43
4/16/23,4.25,0,59,72,47
4/17/23,3.8,0,54,64,48
4/18/23,5.37,0,56,65,48
4/19/23,4.92,0,55,69,43
4/20/23,3.36,0,64,82,45
4/21/23,2.46,0,71,89,53
4/22/23,2.46,0,72,88,58
4/23/23,3.8,0,67,80,55
4/24/23,2.91,0,60,72,53
4/25/23,3.8,0,61,73,53
4/26/23,4.25,0,68,84,48
4/27/23,4.92,0,70,86,54
4/28/23,4.47,0,69,85,54
4/29/23,4.25,0,69,89,54
4/30/23,5.59,0,63,78,53
5/1/23,10.07,0,55,64,49
5/2/23,7.16,0,54,63,48
5/3/23,4.7,0,53,62,44
5/4/23,6.71,0.32,52,60,47
5/5/23,3.13,0,54,61,48
5/6/23,3.8,0,56,69,43
5/7/23,4.25,0,58,71,45
5/8/23,4.03,0,60,73,47
5/9/23,5.82,0,57,70,47
5/10/23,4.7,0,57,66,50
5/11/23,4.25,0,59,72,49
5/12/23,4.03,0,62,78,49
5/13/23,4.92,0,70,88,52
5/14/23,4.25,0,68,87,55
5/15/23,5.37,0,66,81,55
5/16/23,4.92,0,69,85,56
5/17/23,5.59,0,70,85,56
5/18/23,5.37,0,68,79,55
5/19/23,4.7,0,64,76,55
5/20/23,6.26,0,67,84,57
5/21/23,4.7,0,68,84,58
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,